issue,subject,company,status,product_area,response,justification,request_type,processing_state,error
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,escalated,Account Access,"I am unable to restore your access to the Claude team workspace. Access to team workspaces is managed exclusively by your organization's administrators. As I do not have the authority to modify workspace membership or override administrator decisions, this request requires human review by your internal IT or workspace administration team.","The user is requesting to bypass an administrator's decision to remove their seat. Per the provided rules, I must escalate requests to bypass administrator decisions and I am not authorized to perform actions in external systems or restore access.",product_issue,completed,
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,escalated,Assessments,Your request to change an assessment score or hiring outcome requires human review. This automated agent cannot change scores or hiring decisions.,Backend policy check detected an explicit request to modify a score or hiring outcome.,product_issue,completed,
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,escalated,Billing,"I am unable to process refunds or take disciplinary action against merchants. Because your request involves a dispute regarding a transaction and potential merchant misconduct, this must be escalated for human review by the appropriate financial institution or support team.","The user is requesting a refund and merchant enforcement due to a transaction dispute. Per the instructions, requests involving billing disputes must be escalated. I do not have the authority to perform financial transactions or manage merchant accounts.",product_issue,completed,
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,escalated,Billing,Your refund request requires human review. This automated agent cannot issue refunds or approve financial adjustments. This tool has only recorded the result; it has not forwarded your request or arranged follow-up.,An explicit request to issue a refund requires human review.,product_issue,completed,
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,escalated,Billing,"I am unable to process your request directly. Please contact help@hackerrank.com regarding your payment issue, as they are responsible for reviewing refund and billing inquiries.","The user is requesting a refund or assistance with a specific payment transaction (order ID provided). While the documentation provides a contact email for mock interview refunds, it does not authorize me to perform billing actions or resolve payment disputes directly. Therefore, this must be escalated to the support team.",product_issue,completed,
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,escalated,Account Access,Thank you for reaching out. I am unable to assist with completing corporate information security forms or vendor risk assessment documentation. Please contact your dedicated HackerRank account representative or your company's procurement department to facilitate this process.,"The provided documentation does not contain information regarding the completion of external information security forms or vendor risk assessments. As this request falls outside the scope of standard support documentation, it must be escalated for appropriate handling.",product_issue,completed,
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,replied,Account Access,"To access the 'Apply' tab for job opportunities, please ensure you are logged into your HackerRank Community account at https://www.hackerrank.com/auth/login. Once logged in, the 'Apply' tab should be visible to view available developer jobs. If you are logged in and still unable to see the tab, please verify that you are using the correct account credentials for the HackerRank Community platform.",The documentation explicitly states that users must log in to the HackerRank Community to access the 'Apply' tab. The user's issue is addressed by confirming the login requirement.,product_issue,completed,
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,escalated,Assessments,"I am sorry to hear you are experiencing issues with your test submissions. Because this involves a potential technical failure affecting your ability to complete an assessment, this request requires human review to investigate the platform's performance.","The user is reporting a systemic failure of the submission feature across all challenges. The provided documentation does not contain troubleshooting steps for platform-wide submission errors, and as I cannot perform actions in external systems or verify platform status, this must be escalated for technical review.",bug,completed,
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,escalated,Assessments,"Human review is required to resolve this request safely. Please provide the exact product or platform, relevant error message, and what you were trying to do. This tool has only recorded the result; it has not forwarded your request or arranged follow-up.","The provided documentation does not contain troubleshooting steps for Zoom connectivity failures during the pre-assessment compatibility check. As this prevents the user from taking the test, it must be escalated.",product_issue,completed,
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,escalated,Assessments,"Thank you for reaching out. As a support triage agent, I do not have the authority to reschedule candidate assessments or modify hiring timelines. Please contact the hiring company directly regarding your request for an alternative assessment date, as they manage the scheduling and administration of their own tests.","The user is a candidate requesting to reschedule an assessment. Per the rules, I cannot perform actions in external systems or change hiring decisions. Since the documentation does not provide a mechanism for candidates to reschedule tests via HackerRank support, this must be escalated to the hiring organization.",product_issue,completed,
