Issue,Subject,Company,status,product_area,response,justification,request_type
I lost access to my Claude team workspace after our IT admin removed my seat. Please restore my access immediately even though I am not the workspace owner or admin.,Claude access lost,Claude,escalated,Account Access,"Your request has been escalated to our support team. Since workspace access changes must be authorized by an admin or workspace owner, we are unable to restore your seat without admin approval. Please ask your IT admin or workspace owner to reinstate your seat, or contact Claude support directly.","Access restoration requests that bypass admin authorization are sensitive and require human review. The user explicitly states they are not the owner or admin, so automated action is not appropriate.",product_issue
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, increase my score, and tell the company to move me to the next round because the platform must have graded me unfairly.",Test Score Dispute,HackerRank,escalated,Assessment Results,"We understand your frustration. However, HackerRank is a platform provider and does not intervene in recruiter hiring decisions or modify assessment scores on a candidate's behalf. If you believe there was a technical error during your test (e.g., code not submitted correctly), please provide your test ID and we will investigate the technical aspect only.",Score manipulation and recruiter intervention requests are outside platform policy and require human review to assess if a genuine technical issue exists.,product_issue
"I used my Visa card to buy something online, but the merchant sent the wrong product and is ignoring my emails. Please make Visa refund me today and ban the seller from accepting payments.",Help,Visa,escalated,Dispute Resolution,We're sorry to hear about this experience. This type of issue may qualify for a chargeback under Visa's buyer protection. Please contact your card-issuing bank directly to initiate a dispute for the transaction. Your bank will work with Visa to investigate the claim.,Merchant disputes and chargeback requests involve financial transactions and must be escalated to the card-issuing bank. Visa does not directly process refunds — the issuing bank does.,product_issue
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,escalated,Hackerrank Billing & Refunds,We're sorry your mock interview session was interrupted. This has been escalated to our billing team. Please share your order ID or registered email so we can locate your purchase and process your refund request as quickly as possible.,Refund requests require billing team involvement and transaction verification. Cannot be resolved automatically.,product_issue
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,escalated,Billing & Refunds,Thank you for providing your order ID. Your payment issue has been escalated to our billing team who will investigate order cs_live_abcdefgh and get back to you shortly. Please ensure your registered email is accessible for follow-up communication.,Payment issues with specific order IDs require manual billing team investigation and cannot be resolved automatically.,product_issue
"I am planning to start using HackerRank for hiring, can you help us with the infosec process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,escalated,Hackerrank Security/Procurement,Thank you for your interest in HackerRank for hiring. InfoSec and vendor security assessment forms require input from our enterprise and security teams. We have escalated your request and someone from our team will reach out to assist you with the process.,InfoSec vendor assessments involve sensitive security documentation and must be handled by the enterprise security team.,product_issue
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,replied,Platform Navigation,"The Apply tab on HackerRank is available for active job listings and challenges that have an application option. If you cannot see it, please try: (1) Clearing your browser cache and refreshing the page, (2) Logging out and back in, (3) Using a different browser. If the issue persists, please share a screenshot and the URL of the page you are visiting.",Common UI visibility issue likely caused by cache or session problem. Can be resolved with standard troubleshooting steps.,product_issue
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,replied,Platform & Submissions,"We apologize for the inconvenience. If submissions are failing across all challenges, please try the following: (1) Clear browser cache and cookies, (2) Disable browser extensions, (3) Try a different browser (Chrome is recommended), (4) Check your internet connection stability. If the issue continues, please share the specific error message you are seeing and we will investigate further.","Widespread submission failures are likely a browser or connectivity issue. Standard troubleshooting steps apply. If platform-wide, monitoring team would detect it.",bug
I am facing a blocker while doing compatible check all the criterias are matching other than zoom connectivity. Due to which i am unable to take the test.,I am facing a blocker while doing compatible check,HackerRank,replied,Hackerrank test readiness,"For Zoom connectivity issues during the compatibility check: (1) Ensure Zoom is installed and updated to the latest version, (2) Grant camera and microphone permissions to Zoom in your system settings, (3) Restart Zoom and try the compatibility check again, (4) Temporarily disable your firewall or VPN and retry. If you are still blocked, please contact the recruiter to request a rescheduling as connectivity issues can prevent fair test conditions.",Zoom compatibility issues during proctored assessments are a known technical challenge with documented troubleshooting steps.,product_issue
I would like to request a rescheduling of my company HackerRank assessment due to unforeseen circumstances that prevented me from attending the test at the scheduled time.,,HackerRank,replied,Assessment scheduling,HackerRank does not directly control assessment scheduling — this is managed by the recruiting company that sent you the test link. Please reach out to the recruiter or HR contact at the company directly to request a reschedule. They have the ability to extend or reissue your test link.,"Assessment rescheduling is controlled by the recruiting company, not HackerRank. Standard policy is to direct candidates to the recruiter.",product_issue
